"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","276/5608","391/9447",0.705882352941177,1.18909960560544,4.61561644337,1.69889549517133e-06,5.20310229859674e-05,2.46225984705321e-05,"TUBB3/AGER/SLC39A8/WNT3A/COX7A1/COX4I2/TUBB1/WNT3/CASP12/DKK2/GNAQ/SLC39A11/GRIN1/CHRM1/GAPDH/TUBB2B/CALM1/IL6/FZD4/APBB1/COX6B2/PPIF/KIF5A/MME/ULK2/NDUFA13/GRIN2D/PPP3CC/SNCA/CDK5R1/ATP2A1/CACNA1S/SLC39A7/PIK3R1/SEM1/TUBB6/CASP3/PSMD4/TRAF2/BECN2/PSMD11/APH1B/SLC39A5/SLC39A4/PSMB4/TUBB8/PSMD14/CALML6/LPL/ATP2A2/IDE/NOX1/WNT9A/CALML5/PSMC4/TUBA1A/COX7B2/NOX4/NDUFS6/BACE2/TUBA1C/WNT2B/FZD9/SDHA/CYBB/PSMA6/NDUFS2/TUBB4A/VDAC1/PSEN2/NAE1/UQCRH/UQCRHL/LRP1/PSMB3/TUBA4A/SLC39A10/CYC1/CDK5/NDUFS8/PSMA5/NDUFV2/APC/WNT10A/KLC3/PSMB2/PSMD3/WNT6/TUBA3D/TUBB2A/PSMB5/BACE1/PSMC6/KLC2/AKT3/WNT7A/SLC39A6/PSMD12/TUBB/DKK1/FZD3/AXIN1/PSMA1/CSNK2B/PSMD1/COX6C/DVL3/SLC39A14/WNT16/TUBAL3/PIK3R3/ULK1/ATP5PD/PSMD2/FZD5/ATP5MC1/NDUFV1/FADD/WNT2/PSMD7/WIPI2/PSMA2/CSNK2A1/WNT10B/KRAS/CASP8/SDHC/ADRM1/PSMC5/MCU/CYCS/NDUFB4/RTN4/NDUFB9/KIF5C/APH1A/WNT8B/COX6B1/AXIN2/DKK4/VDAC3/SLC25A4/MTOR/SLC39A1/IL1B/NDUFS5/NDUFAB1/PIK3R2/COX6A1/HSD17B10/DDIT3/PLCB1/NDUFB11/MAPK3/MT-ND6/PSENEN/NOS1/WNT11/NDUFA10/DVL1/WNT5B/ATG14/IL1A/UQCRQ/PSMA3/IKBKB/CACNA1C/PPID/PSMC2/MAPK10/CSNK1E/COX5B/NDUFS1/COX5A/ATP5MC3/IRS1/XBP1/TUBA8/NDUFA12/CAPN1/FZD10/ATP5F1C/ITPR1/GRIN2C/GRIN2A/PSMD13/NDUFB10/NDUFA11/PLCB3/WNT1/ATP5F1E/PSMB7/WNT7B/MT-ND5/PIK3C3/TUBB8B/PSMA7/PSMA4/ATP5MC2/FRAT1/EIF2AK3/PSMD8/ATP2A3/CSF1/NFKB1/CHRM5/WIPI1/NDUFB3/FZD7/CALML4/PLCB2/WNT9B/NDUFA9/NCSTN/FAS/UQCRC1/GSK3B/BECN1/NDUFB8/MAPK1/NDUFA8/NDUFS3/NDUFA7/CHRM3/COX8A/FZD8/PSMC3/PLCB4/ATG2B/ATP5F1B/ADAM10/ADAM17/ATG2A/PPP3CB/EIF2AK2/FRAT2/DVL2/AKT2/NDUFA1/PPP3CA/SLC25A5/FZD6/CASP7/PSMC1/CSNK2A3/BID/VDAC2/PSMD9/LRP5/ARAF/NOS2/CHRNA7/COX7B/NRAS/INSR/PIK3CA/NDUFV3/SLC39A3/COX7A2/MAPT/RAF1/CTNNB1/MT-ND3/ATP5PF/ATG101/SLC11A2/NDUFB2/ITPR3/PSMB6/MAP2K2/UQCRC2/UQCRFS1/HRAS/APP/CACNA1F/EIF2S1",276
"hsa00240","Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","51/5608","58/9447",0.879310344827586,1.48124907767229,4.44317229562932,1.79934373438504e-06,5.20310229859674e-05,2.46225984705321e-05,"RRM2/ENTPD8/NME1/TK1/NME4/DTYMK/CAD/TYMS/CANT1/NT5E/ENTPD6/CDA/NME2/RRM1/ENPP3/CTPS2/CTPS1/DCTPP1/ENTPD5/UCK2/NT5C3A/ENTPD4/UCKL1/NT5C3B/NT5C1A/NT5DC4/UMPS/TYMP/NT5M/NT5C/NT5C1B/NT5C2/ENPP1/UPP1/TK2/NME3/RRM2B/DPYD/ENTPD1/UPB1/NME7/AK9/DCTD/DPYS/UPP2/UCK1/CMPK1/ENTPD3/DHODH/HDDC2/DCK",51
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","152/5608","203/9447",0.748768472906404,1.26134375241562,4.54934727556067,2.07334829513166e-06,5.53424506469758e-05,2.61896626753473e-05,"EMP2/SPP1/CAV1/VWF/TNR/CAV2/COL1A1/THBS2/ITGA11/PAK1/IBSP/VEGFD/MYL9/RAC3/ITGA8/TNXB/EMP1/COL6A6/RAP1A/PIP5K1B/PDGFB/COMP/TLN1/LAMB2/FLT4/PARVA/EGF/CAV3/RAPGEF1/SHC3/PIK3R1/LAMC3/PAK6/COL9A2/CRK/MYLK/RHOA/JUN/ITGB4/COL1A2/CCND2/PARVB/COL9A3/ZYX/ITGA2/SHC1/COL2A1/RASGRF1/COL6A3/PRKCG/ITGAV/COL9A1/PGF/LAMA4/COL6A5/ERBB2/THBS3/TNC/AKT3/PPP1R12C/COL4A4/COL4A3/PARVG/PAK3/PIK3R3/ITGA1/MYLK3/LAMB3/THBS4/FYN/ITGB8/VCL/MET/ITGA10/SRC/ARHGAP35/PIP5K1A/PTK2/MYL12A/FLT1/CCND3/PIK3R2/LAMA2/ITGB3/CHAD/MAPK3/MYLK2/COL4A5/PIP5K1C/ROCK1/ELK1/PRKCB/PDGFA/MAPK10/THBS1/VAV2/XIAP/FLNA/PPP1CA/PAK5/GRB2/ITGA5/PTEN/MYL11/HGF/LAMC2/KDR/ITGA9/ILK/PPP1R12B/ACTN4/DIAPH1/LAMB4/LAMA3/RAC2/ACTG1/PPP1CC/MYL12B/PDGFC/GSK3B/LAMA1/SOS2/MAPK1/RAP1B/RELN/COL4A2/PXN/VEGFA/CDC42/PDGFD/VASP/MYL5/RAC1/PDPK1/COL4A6/AKT2/ITGB5/VTN/ITGA4/ROCK2/PRKCA/VEGFC/PDGFRA/EGFR/PIK3CA/COL6A1/SHC2/RAF1/CTNNB1/ITGB7/BIRC3/HRAS",152
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","216/5608","300/9447",0.72,1.21288159771755,4.52874977929771,2.51328787749522e-06,6.22936352493459e-05,2.94791660818989e-05,"TEK/ANGPT4/EFNA4/EFNA3/EFNA2/TGFBR2/RASGRP4/PTPN5/MAP3K3/PAK1/DUSP9/VEGFD/RAC3/ANGPT1/GADD45B/IRAK1/JUND/FGF19/PLA2G4F/RAP1A/FGFR4/MRAS/ARRB1/PDGFB/ARTN/FGF10/ARRB2/RRAS/FGF2/NFATC1/PLA2G4A/FLT4/SRF/DUSP4/PPP3CC/MAP3K8/EGF/CACNA1S/DUSP3/FGFR2/CACNA1E/CASP3/TRAF2/CACNB3/DUSP1/BDNF/CACNA2D2/EFNA5/CRK/FOS/GDNF/DUSP8/RAPGEF2/JUN/FGF5/CACNG5/RET/NR4A1/MAPK8IP3/CACNA1I/RASGRF1/PRKCG/TGFA/NFATC3/MYD88/MAP3K4/RASGRP2/PGF/RPS6KA1/ERBB2/STMN1/AKT3/EREG/FGF20/PLA2G4C/ERBB3/PSPN/ERBB4/MAPK8IP2/CACNB4/MAP3K20/MAP2K5/TAOK2/MKNK2/RPS6KA2/NTRK2/PLA2G4D/CACNA1B/TRAF6/MAPK13/MAP4K2/IL1R1/PRKACA/MET/MAP3K13/KRAS/HSPB1/HSPA6/MAP3K14/NF1/TGFB2/PTPN7/HSPA1B/FLT1/IL1B/MAP3K9/DDIT3/HSPA1L/DUSP7/MAPK3/CACNA1G/MAP2K6/STK4/TRADD/FGF7/IL1A/MAPKAPK5/DUSP16/TP53/IKBKB/ELK1/PRKCB/CACNA1C/PDGFA/MAPK10/MAP2K3/TGFB1/FLNA/GRB2/HSPA1A/TAOK3/NRTN/HGF/STK3/CACNG6/CDC25B/MAP3K11/MAPK11/MAPK12/MKNK1/CACNB1/KDR/RPS6KA5/GADD45G/MAP4K3/TAB2/CACNG1/MAP3K10/ATF2/IRAK4/DAXX/RPS6KA4/MEF2C/CSF1/NFKB1/RAC2/NGF/DUSP5/RASGRP1/DUSP10/MAP3K7/PDGFC/FAS/LAMTOR3/SOS2/MAPK1/EFNA1/NTRK1/GADD45A/CACNA2D3/FGF8/FGFR1/RAP1B/VEGFA/MAP2K4/CDC42/ELK4/MAP3K6/PDGFD/CACNG4/RAC1/PPP3CB/CD14/AKT2/MAP3K21/PPP3CA/MECOM/FGF18/GNA12/RRAS2/NLK/CACNG8/ARAF/HSPA8/PRKCA/VEGFC/PDGFRA/NTF3/PPP5C/MAP3K1/EGFR/NRAS/MAPK7/INSR/MAP4K4/MAPT/RAF1/FLT3/MYC/ECSIT/RASGRF2/TAB1/CSF1R/MAP2K2/HRAS/CACNA1F",216
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","118/5608","154/9447",0.766233766233766,1.29076504807603,4.39686882386867,4.16916248617769e-06,9.3551004361447e-05,4.42710653128643e-05,"PSAT1/NME1/ALAS2/FLAD1/NQO1/AK4/GMPPA/PMM2/SHMT2/EPRS1/MOCS1/NME4/MTHFD2/NFS1/UGT2B15/HMBS/CAD/CPOX/EARS2/UGDH/BCO1/COASY/GCLC/NMNAT2/MTHFD1L/GSS/ADSS1/HSD17B6/ALDH1B1/UGT1A6/DHFR/ALDH2/ADSS2/UGT2B11/PTS/NME2/ADSL/KMO/UGT1A10/TDO2/COQ6/AK2/CTPS2/GGCX/UGT1A1/CTPS1/AK1/QPRT/PNPO/NADSYN1/GGH/MTHFD1/AK7/TPK1/ALAS1/GCLM/MPI/SPR/NADK/NAPRT/AK3/AFMID/LIAS/UMPS/RGN/UGT1A7/VKORC1/ALPL/DHFR2/UROS/COQ7/GMPPB/AK8/MAT1A/OXSM/PPCS/COQ3/MMAB/PDXK/HAAO/KYNU/COX10/AKR1A1/IDO2/ALAD/PDXP/NADK2/MAT2B/ALPP/PANK1/PHOSPHO2/NME3/COX15/RDH13/HPD/ASPDH/SDR16C5/MTHFD2L/GUSB/PPOX/SHMT1/PMM1/UGP2/RFK/BCAT1/FPGS/COQ5/MOCS2/PPCDC/NME7/AK9/NMNAT3/AK5/CMPK1/DHODH/DHRS3/FECH/UGT2B7",118
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","120/5608","157/9447",0.764331210191083,1.2875600825027,4.39126337707075,4.31359097920217e-06,9.3551004361447e-05,4.42710653128643e-05,"CCNB1/CCNB2/FOXM1/MYBL2/CCNA2/CHEK1/CCNE1/CDK1/E2F2/TGFBR2/E2F3/CDC25A/HLA-E/CDKN2A/CCNE2/GADD45B/CALM1/CHEK2/IL6/MRAS/IGFBP3/RRAS/E2F5/NFATC1/PPP3CC/ETS1/PIK3R1/E2F1/NFATC4/EIF4EBP1/CALML6/RBL1/CALML5/CCND2/FOXO3/CDKN2B/VDAC1/CDKN1A/NFATC3/RAD9A/CDK4/LIN9/ATR/AKT3/RASSF5/FOXO1/HIPK3/RBBP4/TRAF3IP2/HIPK1/RHEB/HUS1/MRE11/MAPK13/PIK3R3/KRAS/MCU/TGFB2/LIN37/CDK2/VDAC3/SLC25A4/MTOR/CCND3/PIK3R2/RBL2/MAPK3/E2F4/MAP2K6/ZFP36L2/IL1A/RAD1/LIN54/TP53/PPID/NFATC2/MAP2K3/TGFB1/PPP1CA/CAPN1/RB1/ITPR1/PTEN/TSC2/CCNA1/KIR2DL4/MAPK11/MAPK12/GADD45G/GATA4/RAD50/NFKB1/CCNB3/HIPK4/PPP1CC/CALML4/MAPK1/GADD45A/SQSTM1/HLA-C/SERPINE1/PPP3CB/AKT2/PPP3CA/SLC25A5/VDAC2/RRAS2/NRAS/HLA-B/PIK3CA/RAF1/MYC/ATM/ZFP36L1/ITPR3/TSC1/MAP2K2/TRPV4/HRAS/SIRT1",120
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","86/5608","108/9447",0.796296296296296,1.34140711681725,4.31273900914465,5.64829737891314e-06,0.000115291717087227,5.45594050223188e-05,"EEF1A2/KPNA2/XPO5/NUP85/NUP155/KPNA7/XPO1/NDC1/NUP43/NUP210L/RNPS1/KPNB1/XPOT/RAE1/THOC3/MAGOHB/NUP210/XPO4/NUP62/NUP42/XPO6/THOC1/NUP107/CSE1L/NUP205/NUP88/AHCTF1/ALYREF/IPO4/EIF4A3/SUMO4/NUP35/IPO9/SEC13/NCBP2/UPF3B/NUP37/KPNA3/RANGAP1/NXF3/THOC5/RAN/TMEM33/PNN/NCBP2L/POM121L2/NCBP1/AAAS/DDX39B/KPNA5/TPR/NUP133/THOC6/SUMO1/THOC2/ACIN1/NUP93/SUMO2/MAGOH/SEH1L/PYM1/IPO7/TNPO1/NUP50/NMD3/UBE2I/NXT2/RBM8A/NXT1/NUP160/CASC3/SAP18/IPO13/NUP54/EEF1A1/DDX19A/NUP58/SNUPN/NUP188/POM121C/RANBP17/TNPO3/KPNA6/PHAX/GLE1/SRRM1",86
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","117/5608","154/9447",0.75974025974026,1.27982636122793,4.23145701975146,9.45992495111269e-06,0.000182366331002006,8.63010697294491e-05,"ADRB2/TNNC1/SCN4B/ADCY4/GNAQ/PPP2R2C/RAPGEF4/ADRB1/CALM1/CREB3L4/SCN7A/ADRA1A/PPP2CB/ATP1A2/GNAI2/ATP2A1/CACNA1S/AGT/ATP1B2/PIK3R5/ADCY9/CACNB3/CACNA2D2/MYL3/CALML6/PPP2R3B/ATP2A2/CAMK2A/CACNG5/MYH6/CALML5/ATP1B1/ADRA1D/AGTR2/CAMK2B/TNNI3/PPP2R5A/AGTR1/KCNE1/ADCY8/SLC8A3/CREB3L2/AKT3/LOC102723475/CACNB4/MYL4/MYH7/MAPK13/SLC8A1/PRKACA/SCN5A/ATP1A3/PPP2R5B/POPDC1/SLC8A2/KCNK2/ATP1B3/RAPGEF3/ATF6B/POPDC2/PLCB1/MAPK3/PLN/TNNT2/PPP2R3A/ATP2B4/PPP2R1B/TPM4/CACNA1C/PPP1CA/SCN1B/PIK3CG/CACNG6/PLCB3/PPP2R5E/GNAS/RYR2/MAPK11/MAPK12/CACNB1/RPS6KA5/CACNG1/CREM/ATF2/POPDC3/ATP2A3/PPP1CC/CALML4/PLCB2/SLC9A1/CREB5/MAPK1/ATP1A1/CACNA2D3/PLCB4/ADCY7/CACNG4/TPM3/KCNQ1/PPP2R2D/AKT2/CREB3L1/ATP2B1/ADRA1B/ACTC1/ATP1A4/PPP2R5D/GNAI1/CREB3/CREB3L3/CACNG8/FXYD2/PRKCA/PPP2R5C/TPM1/ATP2B3/CACNA1F",117
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","103/5608","134/9447",0.76865671641791,1.29484664764622,4.15453774539927,1.3253746113257e-05,0.000242055257963168,0.000114547611837568,"RAMP3/ADM2/RAMP2/CALCRL/PRKCE/NPR1/ADCY4/GNAQ/MYL9/PRKCH/KCNMB3/CALCA/PPP1R14A/CALM1/MYH10/PLA2G4F/PLA2G2F/EDN1/PTGIR/RAMP1/ADRA1A/GUCY1A2/PLA2G4A/PLA2G2C/PRKCQ/CACNA1S/AGT/MYH11/MYL6B/ADCY9/AVPR1B/PRKG1/KCNU1/PLA2G5/NPR2/CALML6/MYLK/CALCB/RHOA/GNA11/CALML5/ADRA1D/PRKCG/AGTR1/ADCY8/PLA2G1B/PPP1R12C/PLA2G4C/EDN2/ACTG2/EDN3/PLA2G4D/MYLK3/PRKACA/KCNMB2/EDNRA/ADORA2B/PLA2G3/PRKCD/PLCB1/MAPK3/MYL6/MYLK2/GUCY1A1/PLA2G10/ROCK1/PRKCB/CACNA1C/PPP1CA/ITPR1/PLA2G2D/PLA2G2A/NPPC/CALD1/PLCB3/GNAS/MYH14/PLA2G6/PPP1R12B/GUCY1B1/MYH9/PPP1CC/CALML4/PLCB2/ARHGEF12/MAPK1/IRAG1/KCNMB1/PLCB4/ADCY7/ACTA2/ADRA1B/PLA2G12A/GNA12/ROCK2/ARAF/PRKCA/GNA13/RAF1/AVPR1A/ITPR3/MAP2K2/CACNA1F",103
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","163/5608","224/9447",0.727678571428571,1.22581659491543,4.1339257913807,1.60742581965866e-05,0.000278888379710777,0.000131978119929869,"CDC20/BUB1B/CCNB2/SLC2A1/ESPL1/CCNA2/CHEK1/CCNE1/KAT2A/MAD2L1/TERT/E2F2/PTTG1/TGFBR2/E2F3/ADCY4/MAP3K3/HLA-E/CDKN2A/CCNE2/CHEK2/IL6/EGR2/CREB3L4/SPI1/KAT2B/ZFP36/TLN1/NFATC1/STAT5B/XPO1/TCF3/SRF/EGR1/PPP3CC/ETS1/BUB3/PIK3R1/E2F1/POLB/NFYB/NFATC4/JAK3/ADCY9/RANBP1/FOS/JUN/NFKBIA/ITGAL/STAT5A/CCND2/ETS2/CALR/CDKN2B/VDAC1/CRTC3/CDKN1A/NFATC3/IL2RA/MMP7/ADCY8/CDK4/ANAPC7/ANAPC1/B2M/ANAPC11/TNFRSF13C/ATR/CREB3L2/AKT3/CD4/HLA-DRA/KAT5/TRRAP/RAN/MSX2/HLA-DPA1/JAK1/HLA-DOA/PIK3R3/HLA-DPB1/IL1R1/PRKACA/HLA-DRB1/ICAM1/CDKN2C/MSX1/KRAS/ANAPC5/HLA-DRB5/MAP3K14/TGFB2/SMAD4/ATF6B/CDK2/VDAC3/SLC25A4/CCND3/LTBR/PIK3R2/MAPK3/LTA/ANAPC16/HLA-DQA1/TP53/IKBKB/TSPO/ELK1/RANBP3/MAPK10/XIAP/NFATC2/TGFB1/RB1/PTEN/CANX/HLA-DQB1/CCNA1/ITGB2/HLA-DMA/HLA-DMB/CRTC2/ATF2/NFKB1/IL15/CREB5/MAPK1/ANAPC4/HLA-C/CD40/MAP2K4/ELK4/ADCY7/IL1R2/MAD1L1/PPP3CB/BAX/AKT2/PPP3CA/SLC25A5/EP300/CREB3L1/CDC27/CDC23/VDAC2/CREB3/CREB3L3/HLA-DOB/ANAPC10/MAP3K1/IL2/IL15RA/NRAS/HLA-B/PIK3CA/GPS2/CD3D/MYC/ATM/CSF2/MAP2K2/HRAS/ANAPC15",163
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","145/5608","197/9447",0.736040609137056,1.23990293054882,4.11260232688578,1.74148185977309e-05,0.000287759145400601,0.000136176025125114,"KIF4A/KIF14/KIF2C/KIF20A/KIF18B/KIF26B/TUBB3/KIF11/MYO19/KIF15/TNNC1/KIFC1/CENPE/KIF23/MYO7A/KIF1C/KIF17/TUBB1/DNAH14/KIF22/MYL9/TUBB2B/KIF1A/MYO3B/MYH10/MYH2/BICDL1/MYO1C/STARD9/MYO1B/KIF20B/TUBG1/KIFC2/KIF5A/TNNT1/KIF18A/TUBB6/MYH11/MYL6B/TUBB8/MYL3/TNNC2/MYO1F/MYH6/TUBA1A/TUBA1C/DYNLT2/TNNI3/DNAL1/TUBB4A/DYNLT5/TUBA4A/KIF2A/KIF12/DYNLRB2/KLC3/KIF26A/TUBA3D/TUBB2A/MYO7B/DYNLT4/KLC2/DNAH10/DNAI3/TUBB/MYO9A/BICDL2/KIF3C/DNAI4/TNNI2/ACTG2/MYO1E/MYL4/MYH7/DCTN5/TUBAL3/MYO18B/KIF6/DYNC1LI1/TNNI1/TNNT3/KIF13A/DNAI2/KIF25/DNAH9/DNAI1/KIF5C/DCTN1/MYL12A/ACTR1A/DYNC2H1/DNAH6/DNAH12/TNNT2/KIF24/MYL6/TPM4/KIF19/TUBA8/KIF7/MYL11/DCTN6/DYNC1I1/TUBD1/DCTN3/MYO16/DYNC2LI1/MYH14/TUBB8B/DNAH7/KIF21A/DNAH2/KIF9/DYNLT1/MYO6/DYNC1LI2/MYH9/ACTG1/MYO3A/CAPZA1/MYL12B/TUBE1/MYH1/MYO5B/DNAH1/DNALI1/MYO9B/MYH15/DCTN4/ACTA2/MYL5/TPM3/DNAH11/MYO5A/MYO1D/DYNLT3/HOOK3/ACTC1/DCTN2/DNAH3/KIF21B/TPM1/MYH13/MYO5C/CAPZA2",145
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","128/5608","172/9447",0.744186046511628,1.25362439040573,4.0571138741413,2.202531536447e-05,0.000323701238787731,0.000153184872594831,"PPP1R15A/PDIA4/WFS1/ERO1A/CASP12/P4HB/CRYAB/DERL3/SSR4/HSPA5/HYOU1/CKAP4/HSP90B1/SEC24D/DNAJB11/NPLOC4/STT3A/SEC61A2/PDIA6/SEC61A1/DNAJC10/TRAF2/MOGS/PREB/UBQLN4/SEC61G/KRTCAP2/DDOST/PDIA3/RPN2/SYVN1/OSTC/UGGT1/MARCHF6/CALR/BAK1/UBXN4/HSP90AB1/SSR1/SEC24A/SAR1A/TXNDC5/TMEM258/UGGT2/NFE2L2/RNF185/LMAN1/SEC13/SEC31A/DNAJC5B/UFD1/EDEM3/RRBP1/MBTPS2/SSR3/MAN1A1/HSPA6/SSR2/ERO1B/MAN1B1/DNAJB1/FBXO2/MAN1C1/ATF6B/RAD23B/GANAB/HSPA1B/YOD1/SEC23A/LMAN2/PRKN/DDIT3/HSPA1L/HSPA4L/EDEM1/UBE2J2/MAPK10/DERL2/XBP1/CAPN1/HSPA1A/SIL1/ATXN3/FBXO6/MAN1A2/CANX/UBE2D1/UBE2D3/RPN1/DNAJB12/BAG2/PRKCSH/EIF2AK3/SEC62/SEC63/SEC61B/BCAP31/DAD1/UBE4B/STT3B/RNF5/DNAJC3/HSP90AA1/SAR1B/BAX/SEC23B/DNAJA1/SEC24C/UBE2G2/MAGT1/DERL1/VCP/TRAM1/ERLEC1/HSPBP1/UBXN6/HSPA8/DNAJC5/SEC31B/HSPH1/ERP29/SVIP/DNAJC1/TUSC3/NSFL1C/EIF2S1/NGLY1/AMFR",128
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","136/5608","184/9447",0.739130434782609,1.24510792036222,4.05797476219089,2.21683258612206e-05,0.000323701238787731,0.000153184872594831,"SEMA3G/EFNA4/EFNA3/SLIT2/SEMA6A/EFNA2/BMPR2/PLXNB3/SEMA5A/PAK1/SLIT3/MYL9/DPYSL2/NGEF/RAC3/EPHB2/CFL2/DCC/NTN4/SEMA4B/RRAS/GNAI2/PPP3CC/SEMA6D/LIMK1/PIK3R1/SSH2/NFATC4/PAK6/SEMA4C/EFNA5/RHOA/PLXNA3/CAMK2A/ABLIM3/PARD6B/EPHB3/CAMK2B/CXCL12/RHOD/DPYSL5/NFATC3/EPHA8/ENAH/SEMA3A/CDK5/SEMA3B/TRPC4/EFNB2/ROBO2/EPHA1/FZD3/EPHB1/EFNB1/ABLIM1/EPHA6/NTNG1/SSH3/TRPC3/PAK3/PRKCZ/PIK3R3/LRRC4/FYN/MET/SEMA3D/KRAS/SRC/SEMA7A/PTK2/SEMA6B/MYL12A/PIK3R2/PTCH1/LIMK2/SSH1/MAPK3/SMO/PLXNA2/PLCG2/WNT5B/ROCK1/NTN3/NFATC2/LRRC4C/PAK5/NEO1/RND1/EPHA4/ILK/FES/EPHB6/L1CAM/RAC2/SEMA4G/ROBO3/SRGAP2/MYL12B/SEMA4D/EPHA7/GSK3B/ARHGEF12/MAPK1/EFNA1/RGS3/RGMA/SEMA3E/CDC42/UNC5A/MYL5/RAC1/PPP3CB/CFL1/PTPN11/PDPK1/BMP7/SEMA5B/PPP3CA/PARD3/UNC5C/EPHB4/SEMA6C/UNC5B/GNAI1/TRPC6/ROCK2/BOC/SEMA3C/PRKCA/SRGAP1/NRAS/PIK3CA/PLXNB1/RAF1/SEMA4A/HRAS",136
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","258/5608","371/9447",0.695417789757412,1.17147144433635,4.07240005139662,2.23885583023215e-05,0.000323701238787731,0.000153184872594831,"TUBB3/CAT/GPX2/COX7A1/COX4I2/TUBB1/DNAH14/CASP12/GRIN1/GRIA1/GPX3/TUBB2B/NUP85/NUP155/COX6B2/FIG4/KIF5A/HSPA5/ULK2/NDUFA13/GRIN2D/NDC1/PPP3CC/NUP43/NUP210L/SEM1/TUBB6/CASP3/PSMD4/TRAF2/BECN2/PSMD11/PSMB4/RAE1/TUBB8/PSMD14/NRG3/UBQLN4/NUP210/PFN4/GPX8/PSMC4/TUBA1A/COX7B2/ATXN2L/NUP62/NDUFS6/TUBA1C/NRG1/SDHA/PSMA6/PFN2/DNAL1/NDUFS2/TUBB4A/VDAC1/SIGMAR1/NUP107/UQCRH/UQCRHL/PSMB3/TUBA4A/NUP205/CYC1/NUP88/CASP1/NDUFS8/PSMA5/ALYREF/NDUFV2/KLC3/NEFH/PSMB2/CCS/TOMM40/PSMD3/NUP35/TUBA3D/TUBB2A/PSMB5/SEC13/PSMC6/KLC2/DNAH10/NUP37/PSMD12/TUBB/ERBB4/HNRNPA2B1/NXF3/PSMA1/PSMD1/COX6C/DCTN5/MAPK13/POM121L2/NCBP1/MAP1LC3C/TUBAL3/ULK1/ATP5PD/PSMD2/ATP5MC1/NDUFV1/NEFL/PSMD7/TOMM40L/WIPI2/PSMA2/DNAI2/PINK1/SDHC/ADRM1/PSMC5/MCU/DNAH9/DNAI1/FUS/CYCS/NDUFB4/C9orf72/NDUFB9/KIF5C/DCTN1/RAB8A/TPR/COX6B1/TNFRSF1B/NUP133/MTOR/ACTR1A/NDUFS5/NDUFAB1/MATR3/COX6A1/PRKN/DNAH6/DNAH12/DDIT3/CHCHD10/NDUFB11/MT-ND6/SOD1/NOS1/NDUFA10/MAP2K6/ATG14/MAP1LC3B/NUP93/GRIA2/HAP1/UQCRQ/PSMA3/RAB1A/TP53/PSMC2/COX5B/NDUFS1/SEH1L/MAP2K3/COX5A/ATP5MC3/XBP1/TUBA8/NDUFA12/ATP5F1C/GRIN2C/SETX/GRIN2A/GPX7/PSMD13/DCTN6/NDUFB10/NDUFA11/TARDBP/ATP5F1E/DCTN3/PSMB7/HNRNPA1/NUP50/MAPK11/MAPK12/MT-ND5/PIK3C3/TUBB8B/DNAH7/NRG2/PSMA7/DNAH2/NXT2/PSMA4/ATP5MC2/DAXX/EIF2AK3/PSMD8/WIPI1/NDUFB3/ACTG1/SLC1A2/NXT1/NDUFA9/WDR41/ANXA11/NUP160/UQCRC1/DNAH1/BECN1/NDUFB8/TBK1/NDUFA8/NDUFS3/DNALI1/NDUFA7/SMCR8/COX8A/SQSTM1/PSMC3/OPTN/RAB5A/DCTN4/ATG2B/ATP5F1B/HNRNPA3/ATG2A/RAC1/PPP3CB/PRPH/DNAH11/NUP54/BAX/NDUFA1/PPP3CA/NUP58/PSMC1/NUP188/BID/DERL1/PSMD9/DCTN2/VCP/MAP1LC3A/POM121C/DNAH3/NOS2/COX7B/NDUFV3/NRG4/COX7A2/MT-ND3/ATP5PF/ATG101/GLE1/NDUFB2/ITPR3/PSMB6/UQCRC2/UQCRFS1/EIF2S1",258
